Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
Arkansas State University Three Rivers,Malvern,AR,1832,893,939,7,39,30,262,148,5,1305,13,25,5
Arkansas State University-Beebe,Beebe,AR,2928,1188,1740,0,17,26,185,196,0,2347,98,59,0
Arkansas State University-Mountain Home,Mountain Home,AR,1247,488,759,8,9,7,3,49,3,1125,51,0,0
Arkansas State University-Newport,Newport,AR,1592,538,1054,4,13,16,288,78,0,1158,5,29,5
Arkansas Tech University,Russellville,AR,9445,3985,5460,0,67,169,591,986,5,6995,411,0,221
Arkansas Technical School,North Little Rock,AR,60,29,31,0,0,1,50,1,0,8,0,0,0
Arkansas Welding Academy,Jacksonville,AR,69,62,7,0,0,0,8,12,2,43,3,1,0
Arthur's Beauty College,Fort Smith,AR,16,1,15,0,1,1,4,0,0,10,0,0,0
Arthur's Beauty College,Fort Smith,AR,37,0,37,0,0,0,10,0,0,27,0,0,0
Arthur's Beauty College,Fort Smith,AR,57,0,57,0,0,0,13,0,0,44,0,0,0
Arthur's Beauty College,Fort Smith,AR,76,3,73,0,0,1,29,3,0,43,0,0,0
Baptist Health College Little Rock,Little Rock,AR,549,54,495,0,1,5,165,22,2,326,24,4,0
Black River Technical College,Pocahontas,AR,1566,586,980,2,2,11,40,45,3,1430,30,5,0
Career Academy of Hair Design,Springdale,AR,230,5,225,0,10,1,18,51,0,147,1,2,0
Central Baptist College,Conway,AR,564,312,252,0,5,6,83,48,0,349,20,26,27
Champion Christian College,Hot Springs,AR,82,47,35,0,1,2,27,8,0,35,9,0,0
Cossatot Community College of the University of Arkansas,De Queen,AR,1278,462,816,0,10,5,146,365,1,685,66,0,0
Crowley's Ridge College,Paragould,AR,201,103,98,0,2,0,30,1,0,167,0,1,0
Designer Barber & Stylist School,Ft Smith,AR,88,73,15,0,2,3,25,25,2,25,6,0,0
East Arkansas Community College,Forrest City,AR,1179,392,787,0,3,6,460,31,7,635,34,0,3
Ecclesia College,Springdale,AR,157,88,69,0,5,1,20,32,1,78,6,0,14
GoodFellas Barber College,Little Rock,AR,62,45,17,0,0,0,62,0,0,0,0,0,0
Harding University,Searcy,AR,4805,2015,2790,0,25,80,317,189,3,3811,148,20,212
Henderson State University,Arkadelphia,AR,2519,1009,1510,0,31,39,553,167,6,1594,0,74,55
Hendrix College,Conway,AR,1144,568,576,0,9,36,85,104,1,789,57,31,32
Hot Springs Beauty College,Hot Springs,AR,90,5,85,0,0,0,17,5,0,68,0,0,0
Jackson Theological Seminary,North Little Rock,AR,9,5,4,0,0,0,9,0,0,0,0,0,0
Jefferson Regional School of Nursing,Pine Bluff,AR,69,17,52,0,0,1,17,5,0,46,0,0,0
John Brown University,Siloam Springs,AR,2326,892,1434,1,33,46,78,202,5,1598,123,128,113
Lyon College,Batesville,AR,496,295,201,0,3,6,30,16,1,253,6,147,34
National Park College,Hot Springs,AR,2340,961,1379,19,32,36,212,196,0,1796,3,39,26
New Beginnings Beauty Academy,Pine Bluff,AR,31,0,31,0,0,0,29,0,0,2,0,0,0
New Tyler Barber College Inc,North Little Rock,AR,28,15,13,0,0,0,27,1,0,0,0,0,0
North Arkansas College,Harrison,AR,1856,836,1020,4,12,7,30,178,5,1495,74,50,5
Northern Technical College,Pine Bluff,AR,30,26,4,0,0,0,23,2,0,5,0,0,0
NorthWest Arkansas Community College,Bentonville,AR,7593,3090,4503,37,93,256,191,1695,45,4626,411,230,46
Northwest Technical Institute,Springdale,AR,201,146,55,0,3,3,5,75,11,104,0,0,0
Ouachita Baptist University,Arkadelphia,AR,1784,731,1053,0,10,26,109,98,1,1441,65,0,34
Ozarka College,Melbourne,AR,983,322,661,0,10,4,14,22,1,932,0,0,0
Paul Mitchell the School-Arkansas,Fayetteville,AR,109,1,108,0,9,0,4,19,0,76,1,0,0
Paul Mitchell the School-Little Rock,North Little Rock,AR,358,17,341,0,12,2,102,20,1,200,16,4,1
Philander Smith College,Little Rock,AR,769,318,451,1,0,0,652,10,14,5,18,19,51
Phillips Community College of the University of Arkansas,Helena,AR,1234,451,783,0,3,7,636,45,0,510,12,21,0
Professional Cosmetology Education Center,El Dorado,AR,27,0,27,0,0,0,8,1,0,13,3,2,0
River Valley School of Massage,Russellville,AR,8,1,7,0,0,0,0,0,0,8,0,0,0
Searcy Beauty College,Searcy,AR,84,1,83,0,1,0,7,3,0,72,1,0,0
Shorter College,N Little Rock,AR,321,126,195,0,2,0,236,6,0,74,0,3,0
South Arkansas Community College,El Dorado,AR,1162,370,792,8,8,6,417,66,2,614,30,8,11
Southeast Arkansas College,Pine Bluff,AR,898,248,650,0,2,5,545,165,1,165,14,1,0
Southern Arkansas University Main Campus,Magnolia,AR,5094,2296,2798,10,14,38,893,223,2,2665,239,5,1015
Southern Arkansas University Tech,Camden,AR,943,409,534,0,1,1,353,59,0,472,55,0,2
Strayer University-Arkansas,Little Rock,AR,307,49,258,11,0,0,169,7,0,119,7,5,0
University of Arkansas,Fayetteville,AR,30936,13701,17235,0,258,857,1408,3168,35,22228,1375,463,1144
University of Arkansas at Little Rock,Little Rock,AR,8197,3175,5022,0,66,193,1774,251,0,4443,871,64,535
University of Arkansas at Monticello,Monticello,AR,2719,1085,1634,0,5,15,759,202,6,1559,149,4,20
University of Arkansas at Pine Bluff,Pine Bluff,AR,2387,1050,1337,0,12,10,2123,58,3,76,47,0,58
University of Arkansas Community College Rich Mountain,Mena,AR,679,254,425,0,15,5,9,69,2,553,8,0,18
University of Arkansas Community College-Batesville,Batesville,AR,1008,343,665,0,9,8,19,80,1,824,59,1,7
University of Arkansas Community College-Morrilton,Morrilton,AR,1888,759,1129,57,6,21,159,258,0,1340,99,4,1
University of Arkansas for Medical Sciences,Little Rock,AR,3240,921,2319,13,12,266,335,229,1,2079,119,111,88
University of Arkansas Grantham,LIttle Rock,AR,5436,2150,3286,0,47,110,1858,490,11,2338,239,343,0
University of Arkansas Hope-Texarkana,Hope,AR,1188,406,782,0,7,10,328,114,1,683,42,3,0
University of Arkansas-Fort Smith,Fort Smith,AR,5379,2166,3213,0,112,287,229,950,8,3214,514,0,65
University of Arkansas-Pulaski Technical College,North Little Rock,AR,4245,1431,2814,0,26,69,1643,533,9,1650,177,111,27
University of Central Arkansas,Conway,AR,9913,3530,6383,0,33,209,1508,607,8,6692,459,27,370
University of the Ozarks,Clarksville,AR,784,374,410,0,5,11,48,103,5,335,35,25,217
Velvatex College of Beauty Culture,Little Rock,AR,14,0,14,0,0,0,14,0,0,0,0,0,0
Washington Barber College Inc,Little Rock,AR,56,40,16,0,0,0,52,3,0,1,0,0,0
Williams Baptist University,Walnut Ridge,AR,584,272,312,0,0,1,43,10,14,460,13,0,43
American Samoa Community College,Pago Pago,AS,1051,296,755,0,0,7,0,0,923,1,0,4,116
Allen School-Phoenix,Phoenix,AZ,9,1,8,0,0,0,2,7,0,0,0,0,0
American InterContinental University,Chandler,AZ,14333,5521,8812,3597,128,261,3753,852,123,3008,452,5756,0
Arizona Academy of Beauty,Tucson,AZ,34,2,32,0,0,1,7,17,0,8,1,0,0
Arizona Christian University,Glendale,AZ,1082,654,428,0,16,18,111,282,7,535,74,6,33
Arizona College of Nursing-Phoenix,Phoenix,AZ,746,78,668,0,8,34,88,300,1,243,66,6,0
Arizona College of Nursing-Tempe,Tempe,AZ,1177,145,1032,0,24,42,103,323,8,530,127,20,0
Arizona College of Nursing-Tucson,Tucson,AZ,516,59,457,0,7,18,23,275,4,174,12,3,0
Arizona College-Glendale,Glendale,AZ,453,75,378,0,28,10,90,238,0,71,15,1,0
Arizona College-Mesa,Mesa,AZ,259,20,239,0,31,3,41,104,6,59,14,1,0
Arizona Culinary Institute,Scottsdale,AZ,150,79,71,0,1,8,17,36,4,79,0,5,0
Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,33,9,24,1,0,2,2,0,0,27,0,2,0
Arizona School of Integrative Studies,Tucson,AZ,178,47,131,0,13,2,22,36,0,101,4,0,0
Arizona State University Campus Immersion,Tempe,AZ,80065,41414,38651,380,859,6366,3148,18272,158,33561,3635,2458,11608
Arizona State University Digital Immersion,Scottsdale,AZ,62551,22305,40246,48,679,3109,4868,13544,225,32582,2784,4302,458
Arizona Western College,Yuma,AZ,8050,3257,4793,0,65,65,95,5077,9,877,114,1640,108
Aspen University,Phoenix,AZ,7386,1079,6307,0,55,479,1612,790,53,3658,239,500,0
Avalon Institute-Mesa,Mesa,AZ,383,3,380,6,7,7,48,127,2,176,10,6,0
Avalon Institute-Phoenix,Phoenix,AZ,451,6,445,0,8,8,46,172,0,170,21,26,0
Aveda Institute-Phoenix,Tempe,AZ,209,5,204,0,6,3,13,24,1,53,1,108,0
Aveda Institute-Tucson,Tucson,AZ,229,6,223,0,3,0,6,124,1,60,32,3,0
Brookline College-Phoenix,Phoenix,AZ,888,102,786,47,63,30,117,281,5,232,9,149,2
Brookline College-Tempe,Tempe,AZ,269,30,239,16,20,4,38,113,1,46,3,44,0
Brookline College-Tucson,Tucson,AZ,230,32,198,11,7,3,36,120,2,45,4,13,0
Bryan University,Tempe,AZ,1767,365,1402,0,17,22,390,126,9,784,146,273,0
Bryan University,Tempe,AZ,135,29,106,0,0,1,24,17,2,83,7,1,0
Carrington College-Mesa,Mesa,AZ,532,69,463,0,41,16,36,244,2,129,5,57,2
Carrington College-Phoenix North,Phoenix,AZ,1048,208,840,0,39,29,93,592,2,182,8,95,8
Carrington College-Tucson,Tucson,AZ,446,83,363,0,14,11,34,276,2,78,5,25,1
Central Arizona College,Coolidge,AZ,4652,1781,2871,63,133,102,314,1967,24,1739,158,149,66
Chamberlain University-Arizona,Phoenix,AZ,818,142,676,8,12,91,74,224,5,381,17,13,1
Chandler-Gilbert Community College,Chandler,AZ,13775,6574,7201,99,208,942,581,3733,24,7011,813,392,71
Charles of Italy Beauty College,Lake Havasu City,AZ,85,2,83,0,0,1,4,20,0,37,2,21,0
Cochise County Community College District,Sierra Vista,AZ,3797,1699,2098,0,29,61,181,1799,12,1449,160,44,62
Coconino Community College,Flagstaff,AZ,2535,1151,1384,151,570,32,55,487,8,1151,89,143,0
Commercial Divers International,Goodyear,AZ,57,55,2,0,1,0,4,12,0,39,0,1,0
Conservatory of Recording Arts and Sciences,Tempe,AZ,615,535,80,0,10,17,92,126,1,331,38,0,0
