Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
Madonna University,Livonia,MI,2109,735,1374,1,7,62,255,87,2,1341,68,56,231
Marketti Academy of Cosmetology,Waterford,MI,42,0,42,0,0,0,7,5,0,29,1,0,0
Metro Detroit Barber College,Detroit,MI,43,33,10,0,0,0,34,0,0,9,0,0,0
MIAT College of Technology,Canton,MI,1303,1217,86,1,10,35,198,217,7,479,64,289,4
Michigan Career and Technical Institute,Plainwell,MI,109,84,25,0,1,4,13,4,0,84,3,0,0
Michigan College of Beauty-Monroe,Monroe,MI,107,3,104,0,2,0,29,8,0,61,5,2,0
Michigan College of Beauty-Troy,Troy,MI,279,17,262,0,0,4,100,7,0,158,2,8,0
Michigan School of Psychology,Farmington Hills,MI,178,42,136,2,0,6,26,7,1,129,6,3,0
Michigan State University,East Lansing,MI,50023,23541,26482,0,130,3781,3228,3061,30,32451,1935,1036,4371
Michigan Technological University,Houghton,MI,7063,4952,2111,0,32,158,78,189,2,5365,241,272,726
Mid Michigan College,Harrison,MI,3382,1211,2171,0,20,26,100,190,4,2823,132,65,22
Monroe County Community College,Monroe,MI,2398,903,1495,0,8,8,89,94,1,1668,50,478,2
Montcalm Community College,Sidney,MI,1603,542,1061,0,5,4,7,57,0,1104,29,395,2
Motion Picture Institute,Troy,MI,55,40,15,0,0,0,12,4,0,39,0,0,0
Mott Community College,Flint,MI,5969,2051,3918,0,42,36,784,1202,11,3054,220,611,9
Muskegon Community College,Muskegon,MI,3446,1292,2154,0,11,49,286,276,4,2599,147,51,23
North Central Michigan College,Petoskey,MI,1560,542,1018,32,50,20,23,21,2,1359,56,28,1
Northern Michigan University,Marquette,MI,6970,2817,4153,88,101,63,115,279,0,5916,251,177,68
Northwestern Michigan College,Traverse City,MI,3098,1412,1686,15,38,38,38,148,3,2434,120,272,7
Northwestern Technological Institute,Southfield,MI,731,713,18,0,0,3,283,9,0,388,12,36,0
Northwood University,Midland,MI,2246,1371,875,0,6,58,198,149,1,1537,75,172,50
Nuvo College of Cosmetology,Norton Shores,MI,58,1,57,0,0,2,4,5,0,42,5,0,0
Oakland Community College,Auburn Hills,MI,13430,6072,7358,1066,46,454,2524,786,16,7389,603,866,746
Oakland University,Rochester Hills,MI,16108,6848,9260,572,34,1047,1360,710,14,11005,610,572,756
Olivet College,Olivet,MI,919,567,352,0,1,7,161,63,0,622,56,7,2
P&A Scholars Beauty School,Detroit,MI,117,3,114,0,0,0,114,0,0,2,1,0,0
Paul Mitchell the School-Farmington Hills,Farmington Hills,MI,138,3,135,0,0,0,59,7,2,62,7,1,0
Paul Mitchell the School-Grand Rapids,Kentwood,MI,110,5,105,0,0,6,9,9,1,82,2,1,0
Paul Mitchell the School-Great Lakes,Port Huron,MI,77,0,77,0,0,0,3,0,0,70,2,2,0
Paul Mitchell the School-Michigan,Sterling Heights,MI,206,3,203,0,0,1,61,4,0,117,4,19,0
Port Huron Cosmetology College,Waterford,MI,46,0,46,0,0,1,15,3,0,27,0,0,0
Protege Academy,East Lansing,MI,101,1,100,0,1,0,21,5,0,68,6,0,0
Protege Academy,East Lansing,MI,33,0,33,0,0,0,2,2,0,29,0,0,0
Rochester University,Rochester Hills,MI,1167,465,702,0,9,25,183,57,6,723,30,104,30
Ross College-Grand Rapids North,Grand Rapids,MI,228,6,222,0,0,0,79,20,0,27,5,94,3
Ross Medical Education Center - Kalamazoo,Kalamazoo,MI,94,4,90,0,0,0,16,17,0,21,5,34,1
Ross Medical Education Center-Ann Arbor,Ann Arbor,MI,32,1,31,0,0,0,10,1,0,4,2,15,0
Ross Medical Education Center-Battle Creek,Battle Creek,MI,36,2,34,0,0,1,5,4,0,10,1,15,0
Ross Medical Education Center-Brighton,Brighton,MI,18,1,17,0,0,0,0,0,0,4,0,13,1
Ross Medical Education Center-Canton,Canton,MI,73,6,67,0,0,0,14,2,0,17,1,39,0
Ross Medical Education Center-Davison,Davison,MI,35,1,34,0,0,1,1,0,1,11,0,21,0
Ross Medical Education Center-Flint,Flint,MI,76,1,75,0,0,0,29,0,0,20,0,27,0
Ross Medical Education Center-Kentwood,Kentwood,MI,116,8,108,0,0,3,35,15,1,22,4,36,0
Ross Medical Education Center-Lansing,Lansing,MI,82,5,77,0,0,0,14,5,0,17,0,46,0
Ross Medical Education Center-Midland,Midland,MI,29,1,28,0,0,1,1,0,0,16,1,10,0
Ross Medical Education Center-New Baltimore,New Baltimore,MI,23,1,22,0,0,0,2,0,0,8,1,12,0
Ross Medical Education Center-Port Huron,Port Huron,MI,28,3,25,0,0,0,2,0,0,11,3,12,0
Ross Medical Education Center-Roosevelt Park,Roosevelt Park,MI,99,6,93,0,0,1,21,8,0,36,2,31,0
Ross Medical Education Center-Saginaw,Saginaw,MI,68,0,68,0,0,0,10,4,0,13,3,38,0
Ross Medical Education Center-Taylor,Taylor,MI,53,1,52,0,0,1,10,6,0,10,2,24,0
Ross Medical Education Center-Warren,Warren,MI,130,5,125,0,0,2,39,4,0,15,5,65,0
Sacred Heart Major Seminary,Detroit,MI,338,223,115,0,0,9,7,44,0,219,12,38,9
Saginaw Chippewa Tribal College,Mount Pleasant,MI,143,56,87,0,95,0,7,3,0,27,7,4,0
Saginaw Valley State University,University Center,MI,7147,2454,4693,0,25,76,552,359,1,5489,233,181,231
School of Missionary Aviation Technology,Ionia,MI,29,21,8,0,0,0,0,0,0,28,0,0,1
Schoolcraft Community College District,Livonia,MI,7650,3226,4424,0,19,366,1173,455,8,4579,322,561,167
Sharp's Academy of Hairstyling,Grand Blanc,MI,22,0,22,0,0,0,0,0,0,22,0,0,0
Siena Heights University,Adrian,MI,1857,809,1048,0,9,17,201,126,3,1096,56,296,53
Southwestern Michigan College,Dowagiac,MI,1807,759,1048,50,16,18,210,38,4,1268,122,131,0
Spring Arbor University,Spring Arbor,MI,2396,549,1847,0,10,45,191,96,3,1697,59,254,41
St Clair County Community College,Port Huron,MI,3192,1104,2088,0,87,30,113,158,3,2661,26,113,1
Taylor Andrews Academy of Hair Design-Hair Lab Detroit Barber School,Southgate,MI,50,36,14,0,1,0,17,11,0,15,5,1,0
Taylortown School of Beauty Inc,Taylor,MI,220,1,219,0,5,0,137,12,0,46,19,1,0
The  Salon Professional Academy of Holland,Holland,MI,68,1,67,0,0,6,1,4,0,54,1,2,0
The Michigan Barber School,Detroit,MI,134,106,28,0,0,2,119,2,0,5,1,5,0
The Salon Professional Academy-Battle Creek,Battle Creek,MI,36,0,36,0,0,1,9,4,0,19,1,2,0
Twin City Beauty College,Saint Joseph,MI,248,7,241,0,0,1,18,24,0,190,14,1,0
U.S. Truck Driver Training School,Sterling Heights,MI,203,182,21,0,2,0,126,2,0,69,4,0,0
University of Detroit Mercy,Detroit,MI,5360,2282,3078,3,16,398,569,329,2,2456,77,348,1165
University of Michigan-Ann Arbor,Ann Arbor,MI,51225,24739,26486,0,82,7792,2201,3918,28,23947,2213,2164,8880
University of Michigan-Dearborn,Dearborn,MI,8223,4554,3669,18,12,716,596,511,4,4861,333,137,1053
University of Michigan-Flint,Flint,MI,5985,2123,3862,162,42,200,753,323,5,4012,163,298,189
Walsh College,Troy,MI,1218,599,619,0,2,75,109,36,1,889,15,25,66
Washtenaw Community College,Ann Arbor,MI,10622,4791,5831,90,36,516,1566,803,8,6549,626,314,204
Wayne County Community College District,Detroit,MI,12219,4130,8089,0,27,143,8337,516,9,1435,645,868,239
Wayne State University,Detroit,MI,23630,9453,14177,207,53,2725,3531,1456,11,13182,909,517,1246
West Michigan College of Barbering and Beauty,Kalamazoo,MI,83,42,41,0,0,0,36,12,1,25,7,2,0
West Shore Community College,Scottville,MI,992,363,629,0,4,7,19,101,0,820,31,7,3
Western Michigan University,Kalamazoo,MI,17000,8054,8946,0,68,513,1383,1339,10,11381,628,310,1368
Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,MI,332,160,172,0,1,63,16,36,0,190,11,15,0
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,564,241,323,0,3,18,81,22,1,318,77,33,11
Western Theological Seminary,Holland,MI,433,260,173,0,0,10,11,135,0,209,3,32,33
Yeshiva Gedolah of Greater Detroit,Oak Park,MI,68,68,0,0,0,0,0,0,0,68,0,0,0
Academy College,Bloomington,MN,105,98,7,0,0,2,4,2,1,37,1,58,0
Adler Graduate School,Minnetonka,MN,227,52,175,0,5,12,20,8,1,181,0,0,0
Alexandria Technical & Community College,Alexandria,MN,2865,1383,1482,58,20,23,36,110,4,2318,81,270,3
American Academy of Health and Wellness,Roseville,MN,23,6,17,0,0,9,1,0,0,13,0,0,0
Anoka Technical College,Anoka,MN,1580,733,847,24,3,96,207,101,2,1050,71,45,5
Anoka-Ramsey Community College,Coon Rapids,MN,7902,3139,4763,67,31,528,931,480,1,4769,347,776,39
Augsburg University,Minneapolis,MN,3088,1248,1840,6,40,303,671,344,3,1364,168,109,86
Avalon School of Cosmetology,Worthington,MN,26,1,25,0,0,5,2,12,0,5,2,0,0
Aveda Arts & Sciences Institute Minneapolis,Minneapolis,MN,508,25,483,0,7,18,58,41,5,328,44,6,1
Bemidji State University,Bemidji,MN,4023,1670,2353,11,127,68,98,123,2,3095,202,242,66
Bethany Global University,Bloomington,MN,261,80,181,0,3,8,13,11,0,181,7,26,12
Bethany Lutheran College,Mankato,MN,830,401,429,0,4,15,22,62,0,552,31,9,135
Bethlehem College & Seminary,Minneapolis,MN,242,183,59,0,1,17,4,7,26,155,5,13,14
Capella University,Minneapolis,MN,39727,6599,33128,241,181,1376,10981,4604,157,18747,1364,2093,224
Carleton College,Northfield,MN,2059,1021,1038,22,2,202,135,193,1,1061,177,81,207
Central Lakes College-Brainerd,Brainerd,MN,4633,1919,2714,12,48,41,114,140,0,3865,146,275,4
Century College,White Bear Lake,MN,7646,3194,4452,51,27,1448,990,709,5,3835,343,190,99
Century College,White Bear Lake,MN,773,136,637,0,0,0,0,770,0,1,0,2,0
College of Saint Benedict,Saint Joseph,MN,1470,1,1469,0,5,50,39,140,2,1190,0,0,44
Concordia College at Moorhead,Moorhead,MN,1903,877,1026,11,15,74,74,62,2,1454,38,60,124
Concordia University-Saint Paul,Saint Paul,MN,5544,1978,3566,0,19,423,599,385,10,3089,199,228,592
Crown College,Saint Bonifacius,MN,1583,723,860,0,7,68,86,98,0,1186,81,25,32
Dakota County Technical College,Rosemount,MN,2717,1586,1131,125,16,128,286,294,6,1700,125,159,3
Dunwoody College of Technology,Minneapolis,MN,1359,1102,257,0,8,87,92,69,5,943,64,83,8
Empire Beauty School-Bloomington,Bloomington,MN,142,3,139,0,0,1,35,22,0,25,2,57,0
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,95,1,94,0,1,1,20,6,0,5,0,62,0
Fond du Lac Tribal and Community College,Cloquet,MN,1648,667,981,12,153,15,38,42,1,1190,111,96,2
Gustavus Adolphus College,Saint Peter,MN,2072,923,1149,0,2,69,61,102,2,1646,84,17,89
Hamline University,Saint Paul,MN,2638,890,1748,60,10,201,268,255,3,1599,135,128,39
Hastings Beauty School,Hastings,MN,13,0,13,0,1,0,0,2,0,10,0,0,0
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,147,46,101,1,10,2,10,6,0,115,4,0,0
Hennepin Technical College,Brooklyn Park,MN,3974,2476,1498,33,17,362,834,398,3,2027,182,129,22
Herzing University-Minneapolis,St. Louis Park,MN,815,92,723,0,1,93,208,60,3,359,31,60,0
Inver Hills Community College,Inver Grove Heights,MN,3459,1324,2135,34,5,210,573,457,1,1872,165,169,7
Lake Superior College,Duluth,MN,3849,1728,2121,57,50,61,86,142,1,3224,151,105,29
Leech Lake Tribal College,Cass Lake,MN,172,52,120,0,136,0,1,1,0,11,23,0,0
Luther Seminary,Saint Paul,MN,410,173,237,5,0,8,24,19,0,314,10,5,30
Macalester College,Saint Paul,MN,2175,917,1258,69,5,164,127,221,18,1165,182,9,284
Martin Luther College,New Ulm,MN,880,413,467,0,1,6,9,13,1,802,25,1,22
Mayo Clinic College of Medicine and Science,Rochester,MN,1237,507,730,0,8,193,70,102,5,650,9,42,158
Metropolitan State University,Saint Paul,MN,6294,2617,3677,32,34,994,1751,439,3,2584,236,67,186
Minneapolis College of Art and Design,Minneapolis,MN,821,258,563,0,11,56,34,90,0,516,53,22,39
Minneapolis Community and Technical College,Minneapolis,MN,6030,2563,3467,141,75,324,2079,799,3,2031,373,206,140
Minnesota North College,Hibbing,MN,3044,1457,1587,35,75,19,205,145,2,2326,168,75,29
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,150,3,147,0,2,25,28,20,1,61,12,1,0
Minnesota State College Southeast,Winona,MN,1923,839,1084,43,9,39,75,86,0,1572,47,92,3
Minnesota State Community and Technical College,Fergus Falls,MN,5282,2132,3150,34,60,111,487,249,5,3975,197,181,17
Minnesota State University Moorhead,Moorhead,MN,4682,1650,3032,29,36,79,224,181,3,3770,194,56,139
Minnesota State University-Mankato,Mankato,MN,14590,6350,8240,113,45,535,794,803,7,10404,446,181,1375
Minnesota West Community and Technical College,Granite Falls,MN,3352,1631,1721,23,24,68,155,369,1,2516,74,119,26
Mitchell Hamline School of Law,Saint Paul,MN,1192,487,705,22,27,49,96,89,3,829,13,71,15
Model College of Hair Design,Saint Cloud,MN,115,4,111,1,0,7,10,11,0,81,6,0,0
Normandale Community College,Bloomington,MN,9346,3900,5446,157,33,863,1966,1073,7,4501,444,366,93
North Central University,Minneapolis,MN,992,464,528,0,8,44,98,131,1,634,45,17,14
North Hennepin Community College,Brooklyn Park,MN,4896,1917,2979,33,14,801,1259,417,0,1947,277,121,60
Northland Community and Technical College,Thief River Falls,MN,2495,1030,1465,25,39,49,153,109,1,1992,81,57,14
Northwest Technical College,Bemidji,MN,721,223,498,3,43,7,29,30,0,552,42,16,2
Northwestern Health Sciences University,Bloomington,MN,1031,392,639,0,3,49,41,28,0,432,8,394,76
Nova Academy of Cosmetology,Rochester,MN,193,5,188,0,1,0,9,15,0,161,7,0,0
Oak Hills Christian College,Bemidji,MN,102,57,45,0,10,2,12,1,2,66,6,0,3
PCI Academy-Plymouth,Plymouth,MN,73,0,73,0,0,4,5,3,0,53,8,0,0
Pine Technical & Community College,Pine City,MN,1873,735,1138,104,11,41,54,54,0,1362,55,296,0
Rasmussen University-Minnesota,St. Cloud,MN,3058,532,2526,0,11,148,856,191,7,1372,103,370,0
Red Lake Nation College,Red Lake,MN,184,53,131,0,181,0,0,0,0,0,3,0,0
Ridgewater College,Willmar,MN,2904,1074,1830,19,14,43,117,321,6,2234,70,89,10
Riverland Community College,Austin,MN,3175,1480,1695,78,9,125,173,450,5,2182,57,139,35
Rochester Community and Technical College,Rochester,MN,4482,1645,2837,20,12,213,591,375,1,2960,183,99,48
Saint Cloud State University,Saint Cloud,MN,10420,4528,5892,96,30,438,820,419,5,6540,324,638,1206
Saint Johns University,Collegeville,MN,1645,1603,42,0,18,62,64,112,4,1295,4,0,86
Saint Mary's University of Minnesota,Winona,MN,4133,1338,2795,0,26,140,349,280,5,2360,19,879,75
Saint Paul College,Saint Paul,MN,5365,2322,3043,28,24,969,1855,474,2,1412,222,279,128
South Central College,North Mankato,MN,2602,1096,1506,38,8,35,276,301,1,1775,76,63,67
Southwest Minnesota State University,Marshall,MN,6930,2623,4307,192,22,122,235,349,2,5449,203,403,145
St Catherine University,Saint Paul,MN,3577,234,3343,12,13,383,416,336,8,2163,135,107,16
St Cloud Technical and Community College,Saint Cloud,MN,3466,1362,2104,13,10,68,593,199,2,2371,131,71,21
St Olaf College,Northfield,MN,3046,1274,1772,16,3,177,102,253,0,2043,122,18,328
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,440,302,138,10,8,43,216,62,0,60,34,10,7
The College of Saint Scholastica,Duluth,MN,3207,909,2298,15,40,159,158,119,5,2433,72,154,67
United Theological Seminary of the Twin Cities,St. Paul,MN,224,90,134,36,1,5,20,4,5,165,4,20,0
University of Minnesota-Crookston,Crookston,MN,2303,932,1371,31,34,65,94,84,2,1736,57,164,67
University of Minnesota-Duluth,Duluth,MN,9675,4802,4873,46,88,300,198,323,3,7157,336,1107,163
University of Minnesota-Morris,Morris,MN,1068,471,597,4,136,17,32,67,0,579,190,14,33
University of Minnesota-Rochester,Rochester,MN,630,124,506,1,2,92,96,57,0,342,19,15,7
University of Minnesota-Twin Cities,Minneapolis,MN,54955,24390,30565,1157,210,5846,3750,3104,38,31776,2288,2762,5181
University of Northwestern-St Paul,Saint Paul,MN,3253,1260,1993,0,2,122,129,141,3,2611,130,78,37
University of St Thomas,Saint Paul,MN,9025,4430,4595,2,15,493,542,667,6,5903,304,582,513
University of St Thomas,Saint Paul,MN,3588,1509,2079,0,11,354,298,1608,3,887,41,161,225
Walden University,Minneapolis,MN,42312,7320,34992,1533,50,1520,16634,3665,147,15703,797,3110,686
White Earth Tribal and Community College,Mahnomen,MN,102,25,77,0,76,0,0,2,0,9,15,0,0
Winona State University,Winona,MN,6154,1874,4280,13,15,216,215,264,2,5064,216,34,128
A T Still University of Health Sciences,Kirksville,MO,3723,1353,2370,61,17,552,248,439,8,2022,172,153,112
Academy of Beauty Professionals,Raymore,MO,49,0,49,0,0,1,18,3,0,26,0,1,0
Academy of Beauty Professionals,Raymore,MO,54,3,51,0,1,5,15,5,0,24,3,1,0
Academy of Beauty Professionals,Raymore,MO,71,8,63,0,1,10,1,8,0,37,6,8,0
Academy of Beauty Professionals,Raymore,MO,92,14,78,0,6,6,11,20,0,40,9,0,0
Academy of Hair Design-Springfield,Springfield,MO,289,121,168,0,2,2,39,82,0,142,19,3,0
Academy of Salon Professionals,Sedalia,MO,52,5,47,0,0,0,4,4,0,44,0,0,0
Aesthetics Institute,St. Louis,MO,40,0,40,0,0,0,3,0,0,0,37,0,0
American Trade School,Saint Ann,MO,127,125,2,0,1,2,48,2,0,74,0,0,0
Applied Technology Services,Sunset Hills,MO,193,4,189,0,1,2,161,1,0,24,4,0,0
Aquinas Institute of Theology,Saint Louis,MO,95,57,38,0,0,4,5,12,0,55,2,13,4
Aviation Institute of Maintenance-Kansas City,Kansas City,MO,185,159,26,0,0,3,41,19,0,106,12,4,0
Avila University,Kansas City,MO,1306,476,830,1,13,25,334,197,7,658,43,0,29
Baptist Bible College,Springfield,MO,306,192,114,0,4,3,15,6,0,265,12,0,1
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,493,66,427,0,2,22,68,22,1,338,22,12,6
Bolivar Technical College,Bolivar,MO,130,10,120,0,2,0,3,6,0,118,1,0,0
Calvary University,Kansas City,MO,299,156,143,26,1,11,25,16,0,233,7,4,2
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,216,50,166,0,1,1,28,4,0,176,6,0,0
Carthage R9 School District-Carthage Technical Center,Carthage,MO,18,4,14,0,0,1,0,2,0,15,0,0,0
Cass Career Center,Harrisonville,MO,15,1,14,0,0,0,4,1,0,8,2,0,0
Central Christian College of the Bible,Moberly,MO,190,123,67,0,1,4,15,11,0,123,2,33,1
Central College of Cosmetology,Saint Robert,MO,45,2,43,0,0,2,5,1,0,37,0,0,0
Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,3145,898,2247,0,10,37,132,113,2,2653,62,128,8
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,1080,523,557,0,4,10,118,90,0,679,63,18,98
Chamberlain University-Missouri,St. Louis,MO,375,21,354,0,0,11,99,16,0,236,7,6,0
City Pointe Beauty Academy,Webb City,MO,91,7,84,0,2,1,1,4,0,79,4,0,0
City Vision University,Kansas City,MO,182,92,90,0,0,4,26,24,1,65,25,33,4
Clinton Technical School,Clinton,MO,17,4,13,0,0,1,0,0,0,16,0,0,0
College of the Ozarks,Point Lookout,MO,1487,647,840,0,11,19,18,67,1,1277,49,22,23
Conception Seminary College,Conception,MO,27,27,0,0,0,2,2,6,0,16,1,0,0
Concorde Career College-Broadway,Kansas City,MO,101,7,94,0,1,2,31,15,2,13,0,37,0
Concorde Career College-Kansas City,Kansas City,MO,577,65,512,0,12,18,109,77,1,153,0,207,0
Concordia Seminary,Saint Louis,MO,582,529,53,0,0,12,23,18,0,408,23,80,18
Cottey College,Nevada,MO,311,0,311,0,6,4,16,37,1,223,5,0,19
Covenant Theological Seminary,Saint Louis,MO,608,377,231,0,0,45,34,17,0,454,22,27,9
Cox College,Springfield,MO,852,109,743,0,6,15,16,36,1,716,37,25,0
Crowder College,Neosho,MO,4034,1507,2527,25,68,91,56,522,20,2914,202,129,32
Culver-Stockton College,Canton,MO,999,540,459,0,9,11,132,72,5,706,25,0,39
Drury University,Springfield,MO,1595,691,904,0,24,35,54,27,7,1201,44,98,105
Drury University-College of Continuing Professional Studies,Springfield,MO,742,251,491,0,6,11,54,78,3,511,18,58,3
Ea La Mar's Cosmetology & Barber College,Kansas City,MO,36,21,15,0,0,0,28,6,0,2,0,0,0
East Central College,Union,MO,2692,1056,1636,0,9,21,34,91,3,2430,83,9,12
Eden Theological Seminary,Webster Groves,MO,93,42,51,0,0,2,29,2,1,53,1,2,3
Evangel University,Springfield,MO,1868,879,989,0,17,24,95,224,9,1328,74,61,36
Evangel University-College of Online Learning,Springfield,MO,240,104,136,0,7,2,3,30,1,180,7,8,2
Evangel University-James River Assembly of God Church,Ozark,MO,97,41,56,0,1,1,0,3,0,81,4,7,0
Evolve Beauty Academy,Washing,MO,38,1,37,0,0,0,1,1,0,35,1,0,0
Fontbonne University,Saint Louis,MO,944,383,561,2,2,15,202,13,1,561,40,81,29
Four Rivers Career Center,Washington,MO,26,1,25,0,0,1,2,1,0,22,0,0,0
Franklin Technology Center Adult Education,Joplin,MO,61,24,37,0,1,1,4,8,0,44,3,0,0
Grabber School of Hair Design,St. Louis,MO,209,3,206,0,0,2,91,6,0,102,3,5,0
Grand River Technical School,Chillicothe,MO,76,57,19,0,1,0,2,3,0,69,1,0,0
Hannibal-LaGrange University,Hannibal,MO,494,241,253,0,0,5,42,18,0,364,7,28,30
Harris-Stowe State University,Saint Louis,MO,1084,326,758,0,0,6,866,38,1,37,45,49,42
Healing Arts Center,St. Louis,MO,108,30,78,0,0,2,27,2,0,67,6,4,0
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,136,1,135,0,0,0,18,9,0,104,4,1,0
House of Heavilin Beauty College-Kansas City,Kansas City,MO,66,3,63,0,0,0,60,0,0,4,2,0,0
Jefferson College,Hillsboro,MO,3626,1452,2174,0,19,39,79,124,3,3145,74,122,21
Kansas City Art Institute,Kansas City,MO,738,167,571,0,6,34,60,108,0,455,48,16,11
Kansas City University,Kansas City,MO,1306,624,682,3,0,329,59,95,3,660,54,36,70
Kansas City University,Kansas City,MO,642,339,303,1,3,149,20,48,0,358,21,9,34
Kenrick Glennon Seminary,Saint Louis,MO,67,67,0,0,0,0,0,3,0,61,0,0,3
Kirksville Area Technical Center,Kirksville,MO,20,2,18,0,0,0,0,0,0,20,0,0,0
Lex La-Ray Technical Center,Lexington,MO,29,2,27,0,0,0,3,0,0,26,0,0,0
Lindenwood University,Saint Charles,MO,7000,2675,4325,15,26,118,1020,322,34,4521,173,315,471
Logan University,Chesterfield,MO,1735,765,970,0,15,70,183,35,8,1237,75,82,30
Maryville University of Saint Louis,Saint Louis,MO,9959,2668,7291,0,73,366,1457,759,0,6424,288,389,203
Metropolitan Community College-Kansas City,Kansas City,MO,12872,5203,7669,4,25,366,2014,1838,31,7331,856,302,109
Midwest Institute,Fenton,MO,204,21,183,0,0,1,68,5,0,124,3,3,0
Midwest Technical Institute-Missouri,Springfield,MO,340,168,172,0,0,2,32,19,0,273,10,3,1
Midwestern Baptist Theological Seminary,Kansas City,MO,3772,3043,729,0,27,217,146,187,6,2184,44,424,537
Mineral Area College,Park Hills,MO,2289,787,1502,0,4,11,42,57,1,2000,55,73,46
Missouri Baptist University,Saint Louis,MO,5231,2064,3167,0,37,47,294,25,6,2223,38,2477,84
Missouri College of Cosmetology and Esthetics,Jefferson City,MO,89,2,87,0,0,0,5,4,1,74,2,3,0
Missouri Southern State University,Joplin,MO,4144,1572,2572,0,179,118,245,328,21,2831,83,204,135
Missouri State University-Springfield,Springfield,MO,22535,8919,13616,28,72,499,729,1087,27,17415,821,905,980
Missouri State University-West Plains,West Plains,MO,1770,569,1201,0,13,14,29,52,0,1542,48,61,11
Missouri University of Science and Technology,Rolla,MO,7080,5377,1703,20,18,287,225,367,0,5064,203,149,767
Missouri Valley College,Marshall,MO,1527,849,678,0,7,21,182,141,22,636,62,37,419
Missouri Western State University,Saint Joseph,MO,4023,1539,2484,0,51,85,434,50,6,2758,335,257,47
Moberly Area Community College,Moberly,MO,5017,1887,3130,1,15,73,356,398,5,3905,185,77,3
Nazarene Theological Seminary,Kansas City,MO,177,109,68,0,1,6,18,20,1,130,1,0,0
Neosho Beauty College,Neosho,MO,60,3,57,0,0,2,0,8,0,50,0,0,0
New Dimensions School of Hair Design,Joplin,MO,29,0,29,0,2,0,0,3,0,3,20,1,0
North Central Missouri College,Trenton,MO,1772,486,1286,0,4,15,35,14,2,1531,70,86,15
Northwest Missouri State University,Maryville,MO,8505,3255,5250,0,23,70,323,337,9,6382,223,283,855
Ozark Christian College,Joplin,MO,689,384,305,0,12,9,14,41,0,576,20,5,12
Ozarks Technical Community College,Springfield,MO,10889,4594,6295,0,81,188,301,751,25,8793,628,122,0
Park University,Parkville,MO,7662,4131,3531,51,44,195,1289,1726,64,3131,545,145,523
Paul Mitchell the School-Missouri Columbia,Columbia,MO,143,13,130,0,0,1,19,5,1,112,5,0,0
Paul Mitchell the School-Springfield,Springfield,MO,239,26,213,0,2,2,6,11,0,212,4,1,1
Paul Mitchell the School-St Louis,St. Louis,MO,208,11,197,0,0,0,63,3,1,133,2,6,0
Pike-Lincoln Technical Center,Eolia,MO,34,7,27,0,0,0,5,1,0,28,0,0,0
Pinnacle Career Institute,Kansas City,MO,344,322,22,0,9,8,65,51,0,190,17,4,0
Ponce Health Sciences University-St Louis,St. Louis,MO,104,36,68,0,0,12,48,12,0,32,0,0,0
Poplar Bluff Technical Career Center,Poplar Bluff,MO,34,8,26,0,0,0,4,1,0,29,0,0,0
Ranken Technical College,Saint Louis,MO,1671,1524,147,13,13,28,288,65,1,1141,35,100,0
Research College of Nursing,Kansas City,MO,318,37,281,0,1,8,38,11,0,233,5,22,0
Rockhurst University,Kansas City,MO,3405,1199,2206,27,13,147,256,401,6,2257,130,138,57
Saint Louis Community College,Bridgeton,MO,14301,4950,9351,298,39,605,4454,739,13,7264,720,290,177
Saint Louis University,Saint Louis,MO,15755,6451,9304,46,21,1498,1022,894,5,8043,562,2406,1304
Salem College of Hairstyling,Rolla,MO,34,2,32,0,0,0,0,0,0,34,0,0,0
Saline County Career Center,Marshall,MO,23,1,22,0,0,0,1,4,0,18,0,0,0
Skin Institute,Saint Louis,MO,84,0,84,0,0,0,15,3,0,66,0,0,0
South Central Career Center,West Plains,MO,47,16,31,0,0,0,0,1,0,46,0,0,0
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,134,30,104,0,0,1,5,1,1,125,1,0,0
Southeast Missouri State University,Cape Girardeau,MO,9927,4017,5910,0,15,79,747,308,3,7226,288,193,1068
Southwest Baptist University,Bolivar,MO,2386,883,1503,0,14,28,99,76,4,1670,44,415,36
St Charles Community College,Cottleville,MO,5800,2386,3414,1,10,134,476,333,7,4155,267,327,91
St Louis College of Health Careers-Fenton,Fenton,MO,425,39,386,0,1,3,224,7,1,156,8,25,0
St Louis College of Health Careers-St Louis,Saint Louis,MO,91,1,90,0,0,0,79,1,0,3,5,3,0
